"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_900087465.1","GCF_900087475.1","GCF_900087485.1","GCF_900087495.1","GCF_900087505.1","GCF_900087515.1","GCF_900087535.1","GCF_900087545.1","GCF_900087575.1","GCF_900087585.1","GCF_900087595.1","GCF_900087665.1","GCF_900087695.1","GCF_900087755.1","GCF_900087765.1","GCF_900087825.1","GCF_900087835.1","GCF_900087845.1","GCF_900087885.1","GCF_900087925.1"
"group_425","","hypothetical protein","20","20","1","1","469","","","","473","473","473","BJDFHBJJ_00433","FHFNEIGL_01097","NPNHHEFA_00322","EKGGEFJM_00514","IPCEDBCE_00686","BPLIIOBE_00592","LAKMDKJD_00527","HCNCMENI_00525","ABPCLIDI_00963","DPDPODFO_00362","GEBNMNOD_00659","FPOKCNBF_00274","JPMNGIHJ_01143","IENJPBOG_01110","EKEBIHOE_00342","KADELANJ_00256","NDKHHKNJ_01240","PDJHNNAA_00698","PHDCEHKO_00782","OOEMJHNJ_00829"
"ftsH_1","","ATP-dependent zinc metalloprotease FtsH","20","20","1","1","467","","","","1652","1652","1652","BJDFHBJJ_00435","FHFNEIGL_01099","NPNHHEFA_00324","EKGGEFJM_00516","IPCEDBCE_00688","BPLIIOBE_00594","LAKMDKJD_00529","HCNCMENI_00527","ABPCLIDI_00961","DPDPODFO_00364","GEBNMNOD_00661","FPOKCNBF_00276","JPMNGIHJ_01141","IENJPBOG_01112","EKEBIHOE_00344","KADELANJ_00258","NDKHHKNJ_01242","PDJHNNAA_00696","PHDCEHKO_00780","OOEMJHNJ_00831"
"mtaB","","Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB","20","20","1","1","466","","","","1256","1256","1256","BJDFHBJJ_00436","FHFNEIGL_01100","NPNHHEFA_00325","EKGGEFJM_00517","IPCEDBCE_00689","BPLIIOBE_00595","LAKMDKJD_00530","HCNCMENI_00528","ABPCLIDI_00960","DPDPODFO_00365","GEBNMNOD_00662","FPOKCNBF_00277","JPMNGIHJ_01140","IENJPBOG_01113","EKEBIHOE_00345","KADELANJ_00259","NDKHHKNJ_01243","PDJHNNAA_00695","PHDCEHKO_00779","OOEMJHNJ_00832"
"aroB","","3-dehydroquinate synthase","20","20","1","1","464","","","","1031","1031","1031","BJDFHBJJ_00439","FHFNEIGL_01102","NPNHHEFA_00327","EKGGEFJM_00519","IPCEDBCE_00691","BPLIIOBE_00597","LAKMDKJD_00533","HCNCMENI_00530","ABPCLIDI_00958","DPDPODFO_00367","GEBNMNOD_00664","FPOKCNBF_00279","JPMNGIHJ_01138","IENJPBOG_01115","EKEBIHOE_00347","KADELANJ_00261","NDKHHKNJ_01245","PDJHNNAA_00693","PHDCEHKO_00777","OOEMJHNJ_00834"
"group_429","","hypothetical protein","20","20","1","1","462","","","","1436","1436","1436","BJDFHBJJ_00440","FHFNEIGL_01103","NPNHHEFA_00328","EKGGEFJM_00520","IPCEDBCE_00692","BPLIIOBE_00598","LAKMDKJD_00534","HCNCMENI_00531","ABPCLIDI_00957","DPDPODFO_00368","GEBNMNOD_00665","FPOKCNBF_00280","JPMNGIHJ_01137","IENJPBOG_01116","EKEBIHOE_00348","KADELANJ_00262","NDKHHKNJ_01246","PDJHNNAA_00692","PHDCEHKO_00776","OOEMJHNJ_00835"
"lpxP","","Lipid A biosynthesis palmitoleoyltransferase","20","20","1","1","460","","","","986","986","986","BJDFHBJJ_00442","FHFNEIGL_01105","NPNHHEFA_00330","EKGGEFJM_00522","IPCEDBCE_00694","BPLIIOBE_00600","LAKMDKJD_00536","HCNCMENI_00533","ABPCLIDI_00955","DPDPODFO_00370","GEBNMNOD_00667","FPOKCNBF_00282","JPMNGIHJ_01135","IENJPBOG_01118","EKEBIHOE_00350","KADELANJ_00264","NDKHHKNJ_01248","PDJHNNAA_00690","PHDCEHKO_00774","OOEMJHNJ_00837"
"fdx","","Ferredoxin","20","20","1","1","456","","","","251","254","253","BJDFHBJJ_00445","FHFNEIGL_01108","NPNHHEFA_00333","EKGGEFJM_00525","IPCEDBCE_00697","BPLIIOBE_00603","LAKMDKJD_00539","HCNCMENI_00536","ABPCLIDI_00952","DPDPODFO_00373","GEBNMNOD_00670","FPOKCNBF_00285","JPMNGIHJ_01132","IENJPBOG_01121","EKEBIHOE_00353","KADELANJ_00267","NDKHHKNJ_01251","PDJHNNAA_00687","PHDCEHKO_00771","OOEMJHNJ_00840"
"group_432","","hypothetical protein","20","20","1","1","454","","","","1292","1295","1292","BJDFHBJJ_00447","FHFNEIGL_01110","NPNHHEFA_00335","EKGGEFJM_00527","IPCEDBCE_00699","BPLIIOBE_00605","LAKMDKJD_00541","HCNCMENI_00538","ABPCLIDI_00950","DPDPODFO_00375","GEBNMNOD_00672","FPOKCNBF_00287","JPMNGIHJ_01130","IENJPBOG_01123","EKEBIHOE_00355","KADELANJ_00269","NDKHHKNJ_01253","PDJHNNAA_00685","PHDCEHKO_00769","OOEMJHNJ_00842"
"group_433","","hypothetical protein","20","20","1","1","452","","","","539","539","539","BJDFHBJJ_00449","FHFNEIGL_01112","NPNHHEFA_00337","EKGGEFJM_00529","IPCEDBCE_00701","BPLIIOBE_00607","LAKMDKJD_00543","HCNCMENI_00540","ABPCLIDI_00948","DPDPODFO_00377","GEBNMNOD_00674","FPOKCNBF_00289","JPMNGIHJ_01128","IENJPBOG_01125","EKEBIHOE_00357","KADELANJ_00271","NDKHHKNJ_01255","PDJHNNAA_00683","PHDCEHKO_00767","OOEMJHNJ_00844"
"group_434","","hypothetical protein","20","20","1","1","451","","","","533","533","533","BJDFHBJJ_00450","FHFNEIGL_01113","NPNHHEFA_00338","EKGGEFJM_00530","IPCEDBCE_00702","BPLIIOBE_00608","LAKMDKJD_00544","HCNCMENI_00541","ABPCLIDI_00947","DPDPODFO_00378","GEBNMNOD_00675","FPOKCNBF_00290","JPMNGIHJ_01127","IENJPBOG_01126","EKEBIHOE_00358","KADELANJ_00272","NDKHHKNJ_01256","PDJHNNAA_00682","PHDCEHKO_00766","OOEMJHNJ_00845"
"group_435","","hypothetical protein","20","20","1","1","450","","","","1013","1013","1013","BJDFHBJJ_00451","FHFNEIGL_01114","NPNHHEFA_00339","EKGGEFJM_00531","IPCEDBCE_00703","BPLIIOBE_00609","LAKMDKJD_00545","HCNCMENI_00542","ABPCLIDI_00946","DPDPODFO_00379","GEBNMNOD_00676","FPOKCNBF_00291","JPMNGIHJ_01126","IENJPBOG_01127","EKEBIHOE_00359","KADELANJ_00273","NDKHHKNJ_01257","PDJHNNAA_00681","PHDCEHKO_00765","OOEMJHNJ_00846"
"group_436","","Adenosine deaminase","20","20","1","1","446","","","","1229","1229","1229","BJDFHBJJ_00455","FHFNEIGL_01118","NPNHHEFA_00343","EKGGEFJM_00535","IPCEDBCE_00707","BPLIIOBE_00613","LAKMDKJD_00549","HCNCMENI_00546","ABPCLIDI_00942","DPDPODFO_00383","GEBNMNOD_00680","FPOKCNBF_00295","JPMNGIHJ_01122","IENJPBOG_01131","EKEBIHOE_00363","KADELANJ_00277","NDKHHKNJ_01261","PDJHNNAA_00677","PHDCEHKO_00761","OOEMJHNJ_00850"
"group_437","","hypothetical protein","20","20","1","1","439","","","","209","602","582","BJDFHBJJ_00460","FHFNEIGL_01482","NPNHHEFA_00349","EKGGEFJM_00540","IPCEDBCE_00712","BPLIIOBE_00618","LAKMDKJD_00554","HCNCMENI_00552","ABPCLIDI_00937","DPDPODFO_00388","GEBNMNOD_00685","FPOKCNBF_00300","JPMNGIHJ_01117","IENJPBOG_01136","EKEBIHOE_00368","KADELANJ_00282","NDKHHKNJ_01266","PDJHNNAA_00672","PHDCEHKO_00756","OOEMJHNJ_00855"
"xseA_1","","Exodeoxyribonuclease 7 large subunit","20","20","1","1","436","","","","1262","1262","1262","BJDFHBJJ_00463","FHFNEIGL_01485","NPNHHEFA_00352","EKGGEFJM_00544","IPCEDBCE_00715","BPLIIOBE_00621","LAKMDKJD_00557","HCNCMENI_00555","ABPCLIDI_00934","DPDPODFO_00391","GEBNMNOD_00688","FPOKCNBF_00303","JPMNGIHJ_01114","IENJPBOG_01140","EKEBIHOE_00371","KADELANJ_00285","NDKHHKNJ_01269","PDJHNNAA_00669","PHDCEHKO_00753","OOEMJHNJ_00858"
"yejE","","Inner membrane ABC transporter permease protein YejE","20","20","1","1","429","","","","170","1016","973","BJDFHBJJ_00471","FHFNEIGL_01436","NPNHHEFA_00360","EKGGEFJM_00552","IPCEDBCE_00723","BPLIIOBE_00629","LAKMDKJD_00565","HCNCMENI_00563","ABPCLIDI_00926","DPDPODFO_00399","GEBNMNOD_00696","FPOKCNBF_00311","JPMNGIHJ_01106","IENJPBOG_01148","EKEBIHOE_00379","KADELANJ_00293","NDKHHKNJ_01277","PDJHNNAA_00661","PHDCEHKO_00745","OOEMJHNJ_00866"
"rsgA","","Putative ribosome biogenesis GTPase RsgA","20","20","1","4","81","","","","458","464","461","BJDFHBJJ_00020","FHFNEIGL_00019","NPNHHEFA_00019","EKGGEFJM_00019","IPCEDBCE_00190","BPLIIOBE_00320","LAKMDKJD_00019","HCNCMENI_00019","ABPCLIDI_00856","DPDPODFO_00091","GEBNMNOD_00265","FPOKCNBF_00172","JPMNGIHJ_00895","IENJPBOG_00938","EKEBIHOE_00791","KADELANJ_00556","NDKHHKNJ_00170","PDJHNNAA_00162","PHDCEHKO_01444","OOEMJHNJ_00045"
"gsiA","","Glutathione import ATP-binding protein GsiA","20","20","1","1","428","","","","608","1550","1502","BJDFHBJJ_00472","FHFNEIGL_01435","NPNHHEFA_00361","EKGGEFJM_00553","IPCEDBCE_00724","BPLIIOBE_00630","LAKMDKJD_00566","HCNCMENI_00564","ABPCLIDI_00925","DPDPODFO_00400","GEBNMNOD_00697","FPOKCNBF_00312","JPMNGIHJ_01105","IENJPBOG_01149","EKEBIHOE_00380","KADELANJ_00294","NDKHHKNJ_01278","PDJHNNAA_00660","PHDCEHKO_00744","OOEMJHNJ_00867"
"dps","","DNA protection during starvation protein","20","20","1","1","420","","","","434","434","434","BJDFHBJJ_00480","FHFNEIGL_01428","NPNHHEFA_00368","EKGGEFJM_00560","IPCEDBCE_00731","BPLIIOBE_00637","LAKMDKJD_00573","HCNCMENI_00571","ABPCLIDI_00918","DPDPODFO_00407","GEBNMNOD_00704","FPOKCNBF_00319","JPMNGIHJ_01098","IENJPBOG_01156","EKEBIHOE_00387","KADELANJ_00301","NDKHHKNJ_01285","PDJHNNAA_00653","PHDCEHKO_00737","OOEMJHNJ_00874"
"group_442","","hypothetical protein","20","20","1","1","419","","","","284","332","329","BJDFHBJJ_00481","FHFNEIGL_01427","NPNHHEFA_00369","EKGGEFJM_00561","IPCEDBCE_00732","BPLIIOBE_00638","LAKMDKJD_00574","HCNCMENI_00572","ABPCLIDI_00917","DPDPODFO_00408","GEBNMNOD_00705","FPOKCNBF_00320","JPMNGIHJ_01097","IENJPBOG_01157","EKEBIHOE_00388","KADELANJ_00302","NDKHHKNJ_01286","PDJHNNAA_00652","PHDCEHKO_00736","OOEMJHNJ_00875"
"hcpC_1","","Putative beta-lactamase HcpC","20","20","1","1","412","","","","1067","1067","1067","BJDFHBJJ_00488","FHFNEIGL_01420","NPNHHEFA_00376","EKGGEFJM_00568","IPCEDBCE_00739","BPLIIOBE_00645","LAKMDKJD_00581","HCNCMENI_00579","ABPCLIDI_00910","DPDPODFO_00415","GEBNMNOD_00712","FPOKCNBF_00327","JPMNGIHJ_01090","IENJPBOG_01164","EKEBIHOE_00395","KADELANJ_00309","NDKHHKNJ_01293","PDJHNNAA_00645","PHDCEHKO_00729","OOEMJHNJ_00882"
"bicA","","Bicarbonate transporter BicA","20","20","1","1","405","","","","1157","1157","1157","BJDFHBJJ_00496","FHFNEIGL_01412","NPNHHEFA_00384","EKGGEFJM_00576","IPCEDBCE_00747","BPLIIOBE_00653","LAKMDKJD_00589","HCNCMENI_00587","ABPCLIDI_00902","DPDPODFO_00423","GEBNMNOD_00720","FPOKCNBF_00335","JPMNGIHJ_01082","IENJPBOG_01172","EKEBIHOE_00403","KADELANJ_00317","NDKHHKNJ_01301","PDJHNNAA_00637","PHDCEHKO_00721","OOEMJHNJ_00890"
"dnaA","","Chromosomal replication initiator protein DnaA","20","20","1","1","12","","","","1373","1373","1373","BJDFHBJJ_00501","FHFNEIGL_01464","NPNHHEFA_01507","EKGGEFJM_01481","IPCEDBCE_00654","BPLIIOBE_01501","LAKMDKJD_00411","HCNCMENI_01532","ABPCLIDI_00761","DPDPODFO_00879","GEBNMNOD_00029","FPOKCNBF_00561","JPMNGIHJ_00373","IENJPBOG_00249","EKEBIHOE_00092","KADELANJ_00445","NDKHHKNJ_00141","PDJHNNAA_00005","PHDCEHKO_00344","OOEMJHNJ_00143"
"group_446","","hypothetical protein","20","20","1","1","15","","","","635","635","635","BJDFHBJJ_00505","FHFNEIGL_01460","NPNHHEFA_01503","EKGGEFJM_01485","IPCEDBCE_00650","BPLIIOBE_01497","LAKMDKJD_00415","HCNCMENI_01528","ABPCLIDI_00757","DPDPODFO_00875","GEBNMNOD_00033","FPOKCNBF_00565","JPMNGIHJ_00369","IENJPBOG_00253","EKEBIHOE_00096","KADELANJ_00441","NDKHHKNJ_00137","PDJHNNAA_00009","PHDCEHKO_00340","OOEMJHNJ_00139"
"recG","","ATP-dependent DNA helicase RecG","20","20","1","1","17","","","","1871","1871","1871","BJDFHBJJ_00507","FHFNEIGL_01458","NPNHHEFA_01501","EKGGEFJM_01487","IPCEDBCE_00648","BPLIIOBE_01495","LAKMDKJD_00417","HCNCMENI_01526","ABPCLIDI_00755","DPDPODFO_00873","GEBNMNOD_00035","FPOKCNBF_00567","JPMNGIHJ_00367","IENJPBOG_00255","EKEBIHOE_00098","KADELANJ_00439","NDKHHKNJ_00135","PDJHNNAA_00011","PHDCEHKO_00338","OOEMJHNJ_00137"
"group_448","","hypothetical protein","20","20","1","1","45","","","","1079","1166","1083","BJDFHBJJ_00528","FHFNEIGL_00651","NPNHHEFA_00444","EKGGEFJM_00636","IPCEDBCE_00626","BPLIIOBE_00795","LAKMDKJD_00439","HCNCMENI_00648","ABPCLIDI_00733","DPDPODFO_00851","GEBNMNOD_00057","FPOKCNBF_00589","JPMNGIHJ_00345","IENJPBOG_00277","EKEBIHOE_00120","KADELANJ_00417","NDKHHKNJ_00113","PDJHNNAA_00033","PHDCEHKO_00316","OOEMJHNJ_00116"
"group_449","","hypothetical protein","20","20","1","1","46","","","","818","824","818","BJDFHBJJ_00529","FHFNEIGL_00650","NPNHHEFA_00443","EKGGEFJM_00635","IPCEDBCE_00625","BPLIIOBE_00794","LAKMDKJD_00440","HCNCMENI_00647","ABPCLIDI_00732","DPDPODFO_00850","GEBNMNOD_00058","FPOKCNBF_00590","JPMNGIHJ_00344","IENJPBOG_00278","EKEBIHOE_00121","KADELANJ_00416","NDKHHKNJ_00112","PDJHNNAA_00034","PHDCEHKO_00315","OOEMJHNJ_00115"
"rplY","","50S ribosomal protein L25","20","20","1","1","49","","","","536","536","536","BJDFHBJJ_00532","FHFNEIGL_00647","NPNHHEFA_00440","EKGGEFJM_00632","IPCEDBCE_00622","BPLIIOBE_00791","LAKMDKJD_00443","HCNCMENI_00644","ABPCLIDI_00729","DPDPODFO_00847","GEBNMNOD_00061","FPOKCNBF_00593","JPMNGIHJ_00341","IENJPBOG_00281","EKEBIHOE_00124","KADELANJ_00413","NDKHHKNJ_00109","PDJHNNAA_00037","PHDCEHKO_00312","OOEMJHNJ_00112"
"tal","","Transaldolase","20","20","1","1","50","","","","950","950","950","BJDFHBJJ_00533","FHFNEIGL_00646","NPNHHEFA_00439","EKGGEFJM_00631","IPCEDBCE_00621","BPLIIOBE_00790","LAKMDKJD_00444","HCNCMENI_00643","ABPCLIDI_00728","DPDPODFO_00846","GEBNMNOD_00062","FPOKCNBF_00594","JPMNGIHJ_00340","IENJPBOG_00282","EKEBIHOE_00125","KADELANJ_00412","NDKHHKNJ_00108","PDJHNNAA_00038","PHDCEHKO_00311","OOEMJHNJ_00111"
"murE","","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase","20","20","1","1","51","","","","1343","1343","1343","BJDFHBJJ_00534","FHFNEIGL_00645","NPNHHEFA_00438","EKGGEFJM_00630","IPCEDBCE_00620","BPLIIOBE_00789","LAKMDKJD_00445","HCNCMENI_00642","ABPCLIDI_00727","DPDPODFO_00845","GEBNMNOD_00063","FPOKCNBF_00595","JPMNGIHJ_00339","IENJPBOG_00283","EKEBIHOE_00126","KADELANJ_00411","NDKHHKNJ_00107","PDJHNNAA_00039","PHDCEHKO_00310","OOEMJHNJ_00110"
"menG","","Demethylmenaquinone methyltransferase","20","20","1","1","62","","","","740","740","740","BJDFHBJJ_00545","FHFNEIGL_00634","NPNHHEFA_00426","EKGGEFJM_00619","IPCEDBCE_00609","BPLIIOBE_00778","LAKMDKJD_00456","HCNCMENI_00629","ABPCLIDI_00716","DPDPODFO_00834","GEBNMNOD_00074","FPOKCNBF_00606","JPMNGIHJ_00328","IENJPBOG_00294","EKEBIHOE_00137","KADELANJ_00400","NDKHHKNJ_00096","PDJHNNAA_00050","PHDCEHKO_00299","OOEMJHNJ_00099"
"group_454","","hypothetical protein","20","20","1","1","66","","","","2435","2534","2518","BJDFHBJJ_00549","FHFNEIGL_00630","NPNHHEFA_00422","EKGGEFJM_00615","IPCEDBCE_00605","BPLIIOBE_00774","LAKMDKJD_00460","HCNCMENI_00625","ABPCLIDI_00712","DPDPODFO_00830","GEBNMNOD_00078","FPOKCNBF_00610","JPMNGIHJ_00324","IENJPBOG_00298","EKEBIHOE_00141","KADELANJ_00396","NDKHHKNJ_00092","PDJHNNAA_00054","PHDCEHKO_00295","OOEMJHNJ_00095"
"ubiX","","Flavin prenyltransferase UbiX","20","20","1","1","684","","","","173","563","543","BJDFHBJJ_00552","FHFNEIGL_00627","NPNHHEFA_00419","EKGGEFJM_00612","IPCEDBCE_00602","BPLIIOBE_00771","LAKMDKJD_00463","HCNCMENI_00622","ABPCLIDI_00709","DPDPODFO_00827","GEBNMNOD_00081","FPOKCNBF_00613","JPMNGIHJ_00321","IENJPBOG_00301","EKEBIHOE_00144","KADELANJ_00393","NDKHHKNJ_00089","PDJHNNAA_00057","PHDCEHKO_00292","OOEMJHNJ_01213"
"coaD","","Phosphopantetheine adenylyltransferase","20","20","1","1","683","","","","143","473","456","BJDFHBJJ_00553","FHFNEIGL_00626","NPNHHEFA_00418","EKGGEFJM_00611","IPCEDBCE_00601","BPLIIOBE_00770","LAKMDKJD_00464","HCNCMENI_00621","ABPCLIDI_00708","DPDPODFO_00826","GEBNMNOD_00082","FPOKCNBF_00614","JPMNGIHJ_00320","IENJPBOG_00302","EKEBIHOE_00145","KADELANJ_00392","NDKHHKNJ_00088","PDJHNNAA_00058","PHDCEHKO_00291","OOEMJHNJ_01214"
"group_457","","hypothetical protein","20","20","1","1","674","","","","695","695","695","BJDFHBJJ_00562","FHFNEIGL_00618","NPNHHEFA_00409","EKGGEFJM_00602","IPCEDBCE_00593","BPLIIOBE_00761","LAKMDKJD_00473","HCNCMENI_00612","ABPCLIDI_00699","DPDPODFO_00818","GEBNMNOD_00091","FPOKCNBF_00622","JPMNGIHJ_00311","IENJPBOG_00310","EKEBIHOE_00153","KADELANJ_00383","NDKHHKNJ_00079","PDJHNNAA_00066","PHDCEHKO_00283","OOEMJHNJ_00970"
"group_458","","hypothetical protein","20","20","1","1","669","","","","587","590","587","BJDFHBJJ_00567","FHFNEIGL_00613","NPNHHEFA_00404","EKGGEFJM_00597","IPCEDBCE_00588","BPLIIOBE_00756","LAKMDKJD_00478","HCNCMENI_00607","ABPCLIDI_00694","DPDPODFO_00813","GEBNMNOD_00096","FPOKCNBF_00627","JPMNGIHJ_00306","IENJPBOG_00315","EKEBIHOE_00158","KADELANJ_00378","NDKHHKNJ_00074","PDJHNNAA_00071","PHDCEHKO_00278","OOEMJHNJ_00965"
"ccpA","","Cytochrome c551 peroxidase","20","20","1","1","668","","","","1052","1052","1052","BJDFHBJJ_00568","FHFNEIGL_00612","NPNHHEFA_00403","EKGGEFJM_00596","IPCEDBCE_00587","BPLIIOBE_00755","LAKMDKJD_00479","HCNCMENI_00606","ABPCLIDI_00693","DPDPODFO_00812","GEBNMNOD_00097","FPOKCNBF_00628","JPMNGIHJ_00305","IENJPBOG_00316","EKEBIHOE_00159","KADELANJ_00377","NDKHHKNJ_00073","PDJHNNAA_00072","PHDCEHKO_00277","OOEMJHNJ_00964"
"group_46","","hypothetical protein","20","20","1","4","105","","","","539","1286","1218","BJDFHBJJ_00042","FHFNEIGL_00040","NPNHHEFA_00039","EKGGEFJM_00039","IPCEDBCE_00210","BPLIIOBE_00300","LAKMDKJD_00040","HCNCMENI_00040","ABPCLIDI_00876","DPDPODFO_00071","GEBNMNOD_00285","FPOKCNBF_00152","JPMNGIHJ_00915","IENJPBOG_00958","EKEBIHOE_00771","KADELANJ_00536","NDKHHKNJ_00190","PDJHNNAA_00182","PHDCEHKO_01424","OOEMJHNJ_00025"
"rluB","","Ribosomal large subunit pseudouridine synthase B","20","20","1","1","666","","","","773","773","773","BJDFHBJJ_00570","FHFNEIGL_00610","NPNHHEFA_00401","EKGGEFJM_00594","IPCEDBCE_00585","BPLIIOBE_00753","LAKMDKJD_00482","HCNCMENI_00604","ABPCLIDI_00691","DPDPODFO_00810","GEBNMNOD_00099","FPOKCNBF_00630","JPMNGIHJ_00303","IENJPBOG_00318","EKEBIHOE_00161","KADELANJ_00375","NDKHHKNJ_00071","PDJHNNAA_00074","PHDCEHKO_00275","OOEMJHNJ_00962"
"trxA_2","","Thioredoxin","20","20","1","1","665","","","","314","314","314","BJDFHBJJ_00571","FHFNEIGL_00609","NPNHHEFA_00400","EKGGEFJM_00593","IPCEDBCE_00584","BPLIIOBE_00752","LAKMDKJD_00483","HCNCMENI_00603","ABPCLIDI_00690","DPDPODFO_00809","GEBNMNOD_00100","FPOKCNBF_00631","JPMNGIHJ_00302","IENJPBOG_00319","EKEBIHOE_00162","KADELANJ_00374","NDKHHKNJ_00070","PDJHNNAA_00075","PHDCEHKO_00274","OOEMJHNJ_00961"
"group_462","","hypothetical protein","20","20","1","2","70","","","","422","422","422","BJDFHBJJ_00578","FHFNEIGL_00668","NPNHHEFA_00563","EKGGEFJM_00754","IPCEDBCE_00932","BPLIIOBE_00976","LAKMDKJD_01062","HCNCMENI_00853","ABPCLIDI_01421","DPDPODFO_01371","GEBNMNOD_00722","FPOKCNBF_00400","JPMNGIHJ_00700","IENJPBOG_00598","EKEBIHOE_01318","KADELANJ_01278","NDKHHKNJ_00995","PDJHNNAA_00338","PHDCEHKO_00531","OOEMJHNJ_01278"
"dnaX","","DNA polymerase III subunit tau","20","20","1","2","72","","","","1736","1745","1736","BJDFHBJJ_00580","FHFNEIGL_00671","NPNHHEFA_00565","EKGGEFJM_00756","IPCEDBCE_00934","BPLIIOBE_00974","LAKMDKJD_01060","HCNCMENI_00856","ABPCLIDI_01419","DPDPODFO_01373","GEBNMNOD_00725","FPOKCNBF_00398","JPMNGIHJ_00703","IENJPBOG_00596","EKEBIHOE_01316","KADELANJ_01276","NDKHHKNJ_00997","PDJHNNAA_00340","PHDCEHKO_00533","OOEMJHNJ_01276"
"tsaE","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE","20","20","1","2","73","","","","401","401","401","BJDFHBJJ_00581","FHFNEIGL_00672","NPNHHEFA_00566","EKGGEFJM_00757","IPCEDBCE_00935","BPLIIOBE_00973","LAKMDKJD_01059","HCNCMENI_00857","ABPCLIDI_01418","DPDPODFO_01374","GEBNMNOD_00726","FPOKCNBF_00397","JPMNGIHJ_00704","IENJPBOG_00595","EKEBIHOE_01315","KADELANJ_01275","NDKHHKNJ_00998","PDJHNNAA_00341","PHDCEHKO_00534","OOEMJHNJ_01275"
"rpoN","","RNA polymerase sigma-54 factor","20","20","1","2","75","","","","1244","1244","1244","BJDFHBJJ_00583","FHFNEIGL_00674","NPNHHEFA_00568","EKGGEFJM_00759","IPCEDBCE_00937","BPLIIOBE_00971","LAKMDKJD_01057","HCNCMENI_00859","ABPCLIDI_01416","DPDPODFO_01376","GEBNMNOD_00728","FPOKCNBF_00395","JPMNGIHJ_00706","IENJPBOG_00593","EKEBIHOE_01313","KADELANJ_01273","NDKHHKNJ_01000","PDJHNNAA_00343","PHDCEHKO_00536","OOEMJHNJ_01273"
"group_466","","hypothetical protein","20","20","1","2","77","","","","374","704","390","BJDFHBJJ_00585","FHFNEIGL_00676","NPNHHEFA_00570","EKGGEFJM_00761","IPCEDBCE_00939","BPLIIOBE_00969","LAKMDKJD_01055","HCNCMENI_00861","ABPCLIDI_01415","DPDPODFO_01378","GEBNMNOD_00730","FPOKCNBF_00393","JPMNGIHJ_00708","IENJPBOG_00591","EKEBIHOE_01311","KADELANJ_01271","NDKHHKNJ_01002","PDJHNNAA_00345","PHDCEHKO_00538","OOEMJHNJ_01271"
"yfbR","","5'-deoxynucleotidase YfbR","20","20","1","2","78","","","","1220","1220","1220","BJDFHBJJ_00586","FHFNEIGL_00677","NPNHHEFA_00571","EKGGEFJM_00762","IPCEDBCE_00940","BPLIIOBE_00968","LAKMDKJD_01054","HCNCMENI_00862","ABPCLIDI_01414","DPDPODFO_01379","GEBNMNOD_00731","FPOKCNBF_00392","JPMNGIHJ_00709","IENJPBOG_00590","EKEBIHOE_01310","KADELANJ_01270","NDKHHKNJ_01003","PDJHNNAA_00346","PHDCEHKO_00539","OOEMJHNJ_01270"
"thlA","","Acetyl-CoA acetyltransferase","20","20","1","2","99","","","","1175","1175","1175","BJDFHBJJ_00606","FHFNEIGL_00697","NPNHHEFA_00591","EKGGEFJM_00782","IPCEDBCE_00960","BPLIIOBE_00948","LAKMDKJD_01033","HCNCMENI_00883","ABPCLIDI_01395","DPDPODFO_01399","GEBNMNOD_00750","FPOKCNBF_00372","JPMNGIHJ_00729","IENJPBOG_00570","EKEBIHOE_01290","KADELANJ_01251","NDKHHKNJ_01023","PDJHNNAA_00365","PHDCEHKO_00558","OOEMJHNJ_01251"
"group_469","","hypothetical protein","20","20","1","2","100","","","","812","812","812","BJDFHBJJ_00607","FHFNEIGL_00698","NPNHHEFA_00592","EKGGEFJM_00783","IPCEDBCE_00961","BPLIIOBE_00947","LAKMDKJD_01032","HCNCMENI_00884","ABPCLIDI_01394","DPDPODFO_01400","GEBNMNOD_00751","FPOKCNBF_00371","JPMNGIHJ_00730","IENJPBOG_00569","EKEBIHOE_01289","KADELANJ_01250","NDKHHKNJ_01024","PDJHNNAA_00366","PHDCEHKO_00559","OOEMJHNJ_01250"
"fliP_2","","Flagellar biosynthetic protein FliP","20","20","1","2","105","","","","275","317","312","BJDFHBJJ_00611","FHFNEIGL_00702","NPNHHEFA_00596","EKGGEFJM_00787","IPCEDBCE_00965","BPLIIOBE_00943","LAKMDKJD_01028","HCNCMENI_00889","ABPCLIDI_01390","DPDPODFO_01404","GEBNMNOD_00755","FPOKCNBF_00367","JPMNGIHJ_00734","IENJPBOG_00565","EKEBIHOE_01285","KADELANJ_01246","NDKHHKNJ_01028","PDJHNNAA_00370","PHDCEHKO_00563","OOEMJHNJ_01246"
